id	lane	상태	시각	세션
build5	build	돌는중	04:40	osmu-build5
fe5	fe	돌는중	04:40	osmu-fe5
fe5	fe	끝남	04:41	osmu-fe5
fe6	fe	돌는중	04:41	osmu-fe6
build5	build	빈손	04:54	osmu-build5
build6	build	돌는중	04:54	osmu-build6
fe6	fe	빈손	05:26	osmu-fe6
fe7	fe	돌는중	05:27	osmu-fe7
build6	build	빈손	05:40	osmu-build6
build7	build	돌는중	05:40	osmu-build7
build7	build	끝남	05:42	osmu-build7
build8	build	돌는중	05:42	osmu-build8
fe7	fe	끝남	06:05	osmu-fe7
fe8	fe	돌는중	06:05	osmu-fe8
fe8	fe	끝남	06:07	osmu-fe8
fe9	fe	돌는중	06:07	osmu-fe9
build8	build	끝남	06:12	osmu-build8
build9	build	돌는중	06:12	osmu-build9
build9	build	끝남	06:39	osmu-build9
build10	build	돌는중	06:41	osmu-build10
fe9	fe	끝남	06:53	osmu-fe9
fe10	fe	돌는중	06:54	osmu-fe10
build10	build	끝남	07:21	osmu-build10
fe10	fe	끝남	07:29	osmu-fe10
review1	review	돌는중	18:01	osmu-review1
qa1	qa	돌는중	18:01	osmu-qa1
fix1	build	돌는중	18:10	osmu-fix1
flow1	fe	돌는중	18:24	osmu-flow1
review1	review	끝남	18:42	osmu-review1
qa1	qa	끝남	18:59	osmu-qa1
fix1	build	끝남	19:07	osmu-fix1
flow1	fe	끝남	19:07	osmu-flow1
fixdoc08281	build	돌는중	19:48	osmu-fixdoc08281
fixdoc08281	build	끝남	20:18	osmu-fixdoc08281
fixdoc08282	build	돌는중	20:18	osmu-fixdoc08282
fixdoc08285	build	돌는중	20:43	osmu-fixdoc08285
fixdoc08283	review	돌는중	20:43	osmu-fixdoc08283
fixdoc08284	qa	돌는중	20:43	osmu-fixdoc08284
fixdoc08285	build	끝남	20:45	osmu-fixdoc08285
fixdoc08283	review	끝남	20:45	osmu-fixdoc08283
ship1	review	돌는중	20:54	osmu-ship1
fixdoc08282	build	끝남	21:01	osmu-fixdoc08282
fixdoc08284	qa	끝남	21:32	osmu-fixdoc08284
flowcheck082822	qa	돌는중	22:11	osmu-flowcheck082822
ship1	review	빈손	22:25	osmu-ship1
flowcheck082822	qa	끝남	22:42	osmu-flowcheck082822
gapfill082823	build	돌는중	23:00	osmu-gapfill082823
gapfill082823	build	끝남	23:23	osmu-gapfill082823
regress082900	review	돌는중	00:01	osmu-regress082900
regress082900	review	끝남	00:03	osmu-regress082900
fixdoc08291	build	돌는중	00:23	osmu-fixdoc08291
fixdoc08291	build	끝남	00:25	osmu-fixdoc08291
sweep082901	qa	돌는중	01:00	osmu-sweep082901
sweep082901	qa	끝남	01:01	osmu-sweep082901
flowcheck082902	qa	돌는중	02:05	osmu-flowcheck082902
flowcheck082902	qa	끝남	02:07	osmu-flowcheck082902
gapfill082903	build	돌는중	03:01	osmu-gapfill082903
gapfill082903	build	끝남	03:03	osmu-gapfill082903
regress082904	review	돌는중	04:00	osmu-regress082904
regress082904	review	끝남	04:02	osmu-regress082904
sweep082905	qa	돌는중	05:01	osmu-sweep082905
sweep082905	qa	끝남	05:04	osmu-sweep082905
gapfill082907	build	돌는중	07:10	osmu-gapfill082907
gapfill082907	build	끝남	07:12	osmu-gapfill082907
regress082908	review	돌는중	08:00	osmu-regress082908
regress082908	review	끝남	08:02	osmu-regress082908
sweep082909	qa	돌는중	09:01	osmu-sweep082909
sweep082909	qa	끝남	09:02	osmu-sweep082909
flowcheck082910	qa	돌는중	10:04	osmu-flowcheck082910
flowcheck082910	qa	끝남	10:05	osmu-flowcheck082910
gapfill082911	build	돌는중	11:02	osmu-gapfill082911
gapfill082911	build	끝남	11:03	osmu-gapfill082911
regress082912	review	돌는중	12:01	osmu-regress082912
regress082912	review	끝남	12:02	osmu-regress082912
sweep082913	qa	돌는중	13:04	osmu-sweep082913
sweep082913	qa	끝남	13:05	osmu-sweep082913
flowcheck082918	qa	돌는중	18:45	osmu-flowcheck082918
flowcheck082918	qa	끝남	18:46	osmu-flowcheck082918
gapfill082919	build	돌는중	19:01	osmu-gapfill082919
gapfill082919	build	끝남	19:04	osmu-gapfill082919
fixfeedback082919	build	미실행(codex 소진)	19:16	-
regress090300	review	발주실패	00:10	osmu-regress090300
sweep090301	qa	발주실패	01:01	osmu-sweep090301
flowcheck090302	qa	발주실패	02:01	osmu-flowcheck090302
gapfill090303	build	발주실패	03:01	osmu-gapfill090303
flowcheck090306	qa	발주실패	06:00	osmu-flowcheck090306
gapfill090307	build	발주실패	07:00	osmu-gapfill090307
regress090308	review	발주실패	08:00	osmu-regress090308
sweep090309	qa	발주실패	09:01	osmu-sweep090309
flowcheck090310	qa	발주실패	10:01	osmu-flowcheck090310
gapfill090311	build	발주실패	11:01	osmu-gapfill090311
sweep090317	qa	발주실패	17:25	osmu-sweep090317
flowcheck090318	qa	발주실패	18:01	osmu-flowcheck090318
gapfill090319	build	발주실패	19:13	osmu-gapfill090319
regress090320	review	발주실패	20:00	osmu-regress090320
sweep090321	qa	발주실패	21:00	osmu-sweep090321
flowcheck090322	qa	발주실패	22:01	osmu-flowcheck090322
gapfill090323	build	발주실패	23:00	osmu-gapfill090323
regress090400	review	발주실패	00:01	osmu-regress090400
sweep090401	qa	발주실패	01:01	osmu-sweep090401
flowcheck090402	qa	발주실패	02:00	osmu-flowcheck090402
gapfill090403	build	발주실패	03:22	osmu-gapfill090403
regress090404	review	발주실패	04:00	osmu-regress090404
sweep090405	qa	발주실패	05:01	osmu-sweep090405
flowcheck090406	qa	발주실패	06:01	osmu-flowcheck090406
gapfill090407	build	발주실패	07:01	osmu-gapfill090407
regress090408	review	발주실패	08:00	osmu-regress090408
